K,Fine(K)
1740,164784873073
1741,164784873073
1742,166099940949
1743,166203210540
1744,167555981859
1745,167566237001
1746,169007465079
1747,169007465079
1748,170380060271
1749,170483643467
1750,171851964365
1751,171852249979
1752,173354587279
1753,173354587279
1754,174730009448
1755,174847943886
1756,176261147613
1757,176263742925
1758,177769031222
1759,177769031222
1760,179218852775
1761,179325894134
1762,180742427913
1763,180742567577
1764,182317022739
1765,182327943871
1766,183766214273
1767,183876053519
1768,185356609732
1769,185356771488
1770,186943672140
1771,186947336521
1772,188448184395
1773,188561231888
1774,190042176113
1775,190053638754
1776,191696061631
1777,191696061631
1778,193203369026
1779,193317343261
1780,194875232867
1781,194875766327
1782,196524278897
1783,196524278897
1784,198094836813
1785,198226758206
1786,199775832090
1787,199775832090
1788,201490038966
1789,201490038966
1790,203074909417
1791,203195225738
1792,204815948409
1793,204816752049
1794,206537868620
1795,206549843352
1796,208189609907
1797,208310799336
1798,209929368889
1799,209932311955
1800,211741430129
1801,211741430129
1802,213385628835
1803,213509534346
1804,215198722869
1805,215211392415
1806,217011913156
1807,217012482460
1808,218727961502
1809,218856035792
1810,220561300932
1811,220561300932
1812,222432669007
1813,222435895605
1814,224152909533
1815,224296016947
1816,226061066301
1817,226061277577
1818,227940128171
1819,227940463350
1820,229749306039
1821,229880954378
1822,231647963298
1823,231647963298
1824,233604961908
1825,233618341746
1826,235413533271
1827,235553099658
1828,237395037579
1829,237395210571
1830,239370265077
1831,239370265077
1832,241241632509
1833,241379397334
1834,243228981130
1835,243242564256
1836,245285658446
1837,245286555638
1838,247159746925
1839,247299704441
1840,249240823506
1841,249244138971
1842,251291053220
1843,251291351657
1844,253243506388
1845,253402449705
1846,255330308854
1847,255330308854
1848,257467929949
1849,257468094785
1850,259440353677
1851,259585953896
1852,261594276844
1853,261594643625
1854,263732869210
1855,263750919612
1856,265791419178
1857,265939984759
1858,267952279501
1859,267953883153
1860,270193501942
1861,270193501942
1862,272240085963
1863,272393893874
1864,274492040703
1865,274506932151
1866,276736713797
1867,276736713797
1868,278863491578
1869,279021852812
1870,281139798489
1871,281139798489
1872,283465032280
1873,283465032280
1874,285596721619
1875,285770528387
1876,287962305438
1877,287962305438
1878,290288274581
1879,290288274581
1880,292526965721
1881,292691186322
1882,294883223352
1883,294886961280
1884,297306430740
1885,297323122626
1886,299547132912
1887,299711717897
1888,301996235761
1889,301996235761
1890,304448360857
1891,304448562681
1892,306765631052
1893,306933052533
1894,309219462883
1895,309235747729
1896,311761309888
1897,311765206249
1898,314086307697
1899,314258982532
1900,316658181710
1901,316658181710
1902,319188794397
1903,319189862765
1904,321612673395
1905,321803867103
1906,324189158162
1907,324189158162
1908,326822687690
1909,326822945194
1910,329260863886
1911,329443721103
1912,331928448134
1913,331928448134
1914,334569145573
1915,334586394227
1916,337104423090
1917,337287629868
1918,339778934720
1919,339779289329
1920,342545201156
1921,342545630014
1922,345069536657
1923,345254067289
1924,347843611358
1925,347867206693
1926,350620189693
1927,350620377173
1928,353247918731
1929,353436092975
1930,356048860556
1931,356048860556
1932,358913440609
1933,358913440609
1934,361543766102
1935,361756794599
1936,364459120998
1937,364459906518
1938,367328296325
1939,367332678251
1940,370089471384
1941,370284920838
1942,372987784471
1943,372988015769
1944,375972534332
1945,375991384582
1946,378738518194
1947,378939398285
1948,381751081303
1949,381751081303
1950,384761025038
1951,384761025038
1952,387615989286
1953,387826600059
1954,390643944064
1955,390664128331
1956,393767642433
1957,393768027391
1958,396626228581
1959,396833376216
1960,399792923492
1961,399793136772
1962,402908609366
1963,402909448430
1964,405880657852
1965,406112413551
1966,409047181086
1967,409051904076
1968,412287738230
1969,412288993110
1970,415287890787
1971,415505786114
1972,418558831119
1973,418558831119
1974,421806244626
1975,421827087721
1976,424926229848
1977,425145459618
1978,428203674729
1979,428203674729
1980,431598650677
1981,431603554798
1982,434704324930
1983,434928069821
1984,438110602894
1985,438131810620
1986,441507918447
1987,441507918447
1988,444736962429
1989,444968839996
1990,448176263203
1991,448177599803
1992,451685902853
1993,451685902853
1994,454915586225
1995,455176194274
1996,458486171356
1997,458486171356
1998,462003791315
1999,462003791315
2000,465387766808
2001,465625021752
2002,468950395492
2003,468950395492
2004,472599244792
2005,472621677950
2006,475984587205
2007,476228287616
2008,479677162542
2009,479682660647
2010,483366942517
2011,483366942517
2012,486860800675
